of the,53979
in the,41880
it is,29596
my opponent,27149
to the,25424
to be,22554
is a,21864
that the,20534
is not,19814
this is,18121
for the,15356
don t,15098
is the,14712
on the,14592
and the,14416
there is,14075
http www,13539
it s,13373
does not,12284
would be,12064
can not,11148
in a,11033
of a,10841
i will,10767
i have,10384
they are,10290
as a,10196
the same,10165
that is,10111
if you,10008
with the,9744
doesn t,9589
i am,9569
this debate,9567
do not,8842
there are,8564
from the,8495
not be,8347
should be,8295
will be,8142
by the,8079
is that,7972
that it,7952
can be,7901
i m,7711
have to,7554
to do,7467
have a,7330
you can,7211
i would,7157
are not,7097
you are,7001
at the,6952
as the,6659
in this,6628
is no,6497
that i,6473
we can,6406
can t,6286
and i,6266
the world,6210
to a,5929
the bible,5918
which is,5877
that they,5853
be a,5832
we are,5700
you have,5687
the first,5616
for a,5579
of this,5557
have been,5485
isn t,5463
to have,5410
it was,5406
able to,5402
like to,5304
to make,5301
not a,5291
the debate,5282
that we,5245
if the,5216
the fact,5208
want to,5121
out of,5111
the universe,5048
it would,4969
such as,4961
that s,4930
we have,4874
the only,4798
he is,4755
that you,4737
fact that,4735
going to,4732
did not,4724
all the,4685
with a,4658
as well,4654
and that,4626
