"Total Annotator 3,""0.9466666666666667"""
"Total Annotator 2,""0.9733333333333334"""
"Total At least one,""0.9833333333333333"""
"Total Majority,""0.9683333333333334"""
"Total Annotator 1,""0.955"""
"Total Full,""0.9233333333333333"""
"Round 5 Annotator 3,""0.85"""
"Round 5 Annotator 2,""0.93"""
"Round 5 At least one,""0.95"""
"Round 5 Majority,""0.88"""
"Round 5 Annotator 1,""0.84"""
"Round 5 Full,""0.79"""
"Round 4 Annotator 1,""0.95"""
"Round 4 Annotator 3,""0.95"""
"Round 4 Annotator 2,""0.97"""
"Round 4 At least one,""0.97"""
"Round 4 Majority,""0.97"""
"Round 4 Full,""0.93"""
"Round 3 Annotator 1,""0.96"""
"Round 3 Annotator 3,""0.96"""
"Round 3 Annotator 2,""0.95"""
"Round 3 At least one,""0.98"""
"Round 3 Majority,""0.96"""
"Round 3 Full,""0.93"""
"Round 2 Annotator 1,""1.0"""
"Round 2 Annotator 3,""0.95"""
"Round 2 Annotator 2,""0.99"""
"Round 2 At least one,""1.0"""
"Round 2 Majority,""1.0"""
"Round 2 Full,""0.94"""
"Round 1 Annotator 1,""0.98"""
"Round 1 Annotator 3,""0.98"""
"Round 1 Annotator 2,""1.0"""
"Round 1 At least one,""1.0"""
"Round 1 Majority,""1.0"""
"Round 1 Full,""0.96"""
"Initial Annotator 1,""1.0"""
"Initial Annotator 3,""0.99"""
"Initial Annotator 2,""1.0"""
"Initial At least one,""1.0"""
"Initial Majority,""1.0"""
"Initial Full,""0.99"""
"Fleiss Kappa,""0.49913043478260577"""
"Krippendorffs alpha (nominal),""0.49940869565217394"""
"Krippendorffs alpha (interval),""0.49940869565217394"""
