"Sentences","Annotation","Legend"
"Last but not least my opponent is not good examining my case well because I did give him a case.",0," 1 = relevant sentence"
"I have destroyed my opponent so good that he decided to leave debate.",0," 0 = irrelevant sentence"
"In the situation presented by my opponent, ""if you don't be good, santa claus won't get you anything for Christmas,"" a better punishment technique would be, ""if you don't be good, I won't buy the Power Ranger toy that you really wanted to play with. """,1,
"My opponent is doing a very good job of summarizing my statements, so I will attempt to be as concise.",0,"In case of Questions, do not hesitate to ask me."
"My opponent has some very good responses to some of the quotes I have posted.",0,
"To whoever my opponent is, good luck!",0,
"Thanks again to my opponent and good luck.",0,
"I think ANYONE would rather have their parents happy than fighting 24/7I hope my opponent has a good debate.",1,
"Just like The Bible, The Quran can be interpreted 1000 different ways, and people like my opponent are good people and thus interpret the Quran in a good way.",1,
"I wish my future opponent good luck, and have fun!",0,
"Greetings to my opponent; Good luck and have fun!",0,
"Thank you in advance to my opponent and good luck!",0,
"My opponent did a good job defending a side that would always loose if put under the circumstance.",0,
"Tie (but I commend my opponent for having good opening arguments",0,
"Thanks to my opponent for a my opponent for a good debate.",0,
"I wish my future opponent good luck.",0,
"Well I certainly commend my opponent for the good sportsmanship.",0,
"My opponent can't be good enough to be sure heaven is his home NOW, so he is not a Christian Now.",0,
"My opponent did a good job responding to my arguments but some of my arguments still stand.",0,
"May the noodly appendage of my god, the Flying Spaghetti Monster, touch my opponent with good graces.",0,
"S for a While so that a excuse for the Grammar P. S I would say, my Opponent has good arguments.",0,
"Additionally, my opponent does a very good job in providing comparative images to show that, after a cursory examination, MLP: FiM appears to be more gay than real-life ponies, environments, and villains.",0,
"I am fairly new to this website so I ask my opponent for a good clean debate.",0,
"Obviously my opponent does not have a very good understanding of this term, and should not be attempting to debate it until he does.",0,
"I hope that whoever my opponent is will have a good idea of both characters' most up-to-date powers, so that we do not have to waste too much time describing them.",0,
"Relevant Sadly my opponent is not a good poker player.",0,
"Many thanks to my opponent for a very good debate.",0,
"To my opponent, good luck my friend!",0,
"Thanks to my opponent and good luck to him on his closing.",0,
"My opponent does not do a good job of defending the claim that I CHANGED the definition.",0,
"========= The Bible: ========= I asked my opponent what good reasons we have for disregarding the history in the Gospels and not any other ancient sources that contain inherently less evidence, fewer and younger manuscripts, and rely on secondary sources.",1,
"My opponent has the good fortune of having both the first and last word.",0,
"to my opponent, good luck, and may the mass x acceleration be with you!",0,
"Before I do, however, let me point out to voters that this is all completely irrelevant to the motion, which is actually about whether my opponent had good grounds to say that I was likely to be the troll of his debate.",0,
"My opponent had a good argument, ""worthy of my interest"", but not a good topic.",0,
"SO I request tie vote, if that is accepted by my opponent then good, if not then ok. VOTE TIE my word: Coitus.",0,
"As was noted in round 2 my opponent who was a good one mentioned the G20 summit.",0,
"My opponent has a few good points, but this is where he has gone wrong.",0,
"I would love to first congratulate my opponent on his very good understanding of modern science but must say that his understanding of me is not as exact.",0,
"Thanks to my opponent for a good debate.",0,
"I have to say my opponent has a good start but he needs to prove more.",0,
"This does not mean that having this experience would make my opponent a good debater, though.",0,
"â€ My opponent and I will have a good discussion about the meaning of the scriptures in the next round.",0,
"I would start by wishing my opponent good luck.",0,
"In addition, due to the fact that he is indeed the instigator off this debate, my opponent has a very good motive to lie.",0,
"My opponent, good luck to whoever it is, will select one board game and post it in round one, without any arguments.",0,
"Thanks again to my opponent and good luck :) == REFERENCES == [1] .",0,
"To my opponent - good luck.",0,
"These are my base arguments that I will back up more later in the debate when I have my opponent good luck and have fun and make sure you don't troll or forfeit.",0,
"Round 3: Arguments and rebuttalRound 4: No new argumentsThanks again to my opponent and good luck!",0,
"To my opponent, have a good night!",0,
".. my opponent is off to a good start.",0,
"My ""required"" elements were: - A kind opponent -A good debate topic and -A fun time And even though this debate is over, I can conclude by saying something must be perfect because this debate was.",0,
"As it is, my opponent has just as good shown that oxygen causes long-lasting harm because it can be found when bad things take place.",0,
"You were a good opponent and had a good idea.",0,
"All and all, this debate was a blast and I hope my opponent has a good 2nd point.",0,
">>My opponent provided us with only one source that gives little to no information on this topic >>> My opponent did not have good organization skills and in an effort to increase the size of his speech, countered my points in ROUND ONE instead of giving his full speech.",0,
"Thanks Pro for selecting me as an opponent and good luck; I look forward to seeing your opening arguments.",0,
"The structure of the debate is as follows:R1 AcceptanceR2 Opening arguments (no rebuttals)R3 Rebuttals to R2R4 Rebuttals to R3 and conclusion A word to my opponent: Good luck, and have fun!",0,
"Thanks to my opponent for a good debate and to the audience for listening.",0,
"My opponent did do a good job responding to my arguments but he does not really explain how man causes evil.",0,
"To my opponent, good luck, and let's please keep this debate civil, and enjoyable.",0,
"This is good because you can always choose to continue only if your opponent is good.",0,
"I believe this debate wasn't a waste of time to the readers interested in seeing logical errors in Dawkin's book, and I salute my opponent for having a very good conduct throughout the debate.",0,
"I wish my opponent had noted his conditions in the comments section or by PM before accepting so we could mutually agree, however, as a good sport I accept my opponentâ€™s conditions.",0,
"See also conceptualism Compare appearance the totality of facts as they are independent of human awareness of them 5. in reality actually; in fact perceive â€” vb 1. to become aware of (something) through the senses, esp the sight; recognize or observe 2. to come to comprehend; grasp Collins English Dictionary - Complete & Unabridged 10th Edition I wish my opponent luck, and look forward to a good debate.",1,
"*end* So, As you can see, I have responded to my opponent to the best of my ability.",0,
"Therefore, by reasoning parallel with my opponent's, it is best to be an atheist.",0,
"For a long time I was pondering on how to reply in a manner that may not offend my opponent and the best I could come up with is as follows.",0,
"Rebuttal 4: Contamination/ Repeating HistorySubpoint 1: MicroorganismsThis is probably my opponent's best argument yet, but falls.",0,
"Thus, my opponent at best has established a questionable cause fallacy.",0,
"I was about to further elaborate my explanation of the phrase because my opponent did her best to misunderstand it by twisting my words, before I realized that Pro's new argument has defeated her own position.",0,
"If you donâ€™t adequately explain and use your point, the voters will insert bias and quite possibly choose the opponent for best argument.",0,
"Taylor expansion of ln (1+x) is:1-> ln (1+x) = x - x^2/2 + x^3/3 - x^4/4 + x^5/5 -+-Putting x = 1.2-> ln (1 + 1) = ln (2) = 1 - 1/2 + 1/3 - 1/4 + 1/5 -+-Rearranging the terms3-> ln (2) = (1 + 1/3 + 1/5 +++) - (1/2 + 1/4 + 1/6 +++)4-> Let P = 1 + 1/3 + 1/5 +++5-> Let Q = 1/2 + 1/4 + 1/6 +++From steps 3, 4 and 56-> ln (2) = P - QConsider Q7-> Q = 1/2 + 1/4 + 1/6 + 1/8 + 1/10 +++Taking 1/2 as common from LHS.8-> Q = 1/2 [1 + 1/2 + 1/3 + 1/4 + 1/5 +++]Rearranging terms9-> Q = 1/2 [ (1 + 1/3 + 1/5 +++) + (1/2 + 1/4 + 1/6 +++) ]Subsituting series in step 9 with help of step 4 and 5,10-> Q = 1/2 [ P + Q]11-> 2Q = P + Q12-> Q = PSubstituting Q in step 6.13-> ln (2) = P - P14-> ln (2) = 0Taking antilogs on both sides15-> 2 = 1Best of Luck to my esteemed opponent.",1,
"Best of luck!",0,
"Best of luck to my opponent!",0,
"bad - not such as to be hoped for or desired ; unpleasant or unwelcome I wish Pro the best of luck in the coming rounds.",0,
"Please come back, this debate should be good!",0,
"To my opponent, then; best of luck!",0,
"Best of luck to you, my eternal friend!",0,
